3EP Ltd.
55 Mercer St. Gallery
8BC
A. Contini & Son
Baker, Roger
Baker, Sarah Marindah
Bakós, Józef
Balay, Roland
Baldessari, John
Baldwin, Calvin Benham
Baldwin, Elizabeth Teresa Daniels
Balink, Henry C.
Ball, Caroline Peddle
Ball, Fred Uhl
Ball, Thomas
Ballin, Samuel Ross
Bally, Boris
Baltimore Museum of Art
Baltz, Lewis
Banks, Bernice Fisher
Bannister, Edward Mitchell
Banvard, John
Baranceanu, Belle Goldschlager
Baranik, Rudolf
Barbara Gladstone Gallery
Barbara Mathes Gallery (New York, N.Y.)
Barbarossa, Theodore
Barber, John
Barber, John Warner
Barboza, Anthony,
Barcus, Frank
Bard, Joellen
Bard, Philip
Bardin, Ruth Jonas
Barela, Patrociño
Barile, Xavier J.
Barker, Albert W. (Albert Winslow)
Barker, Augusta
Barker, Burt Brown
Barker, Lucy Hayward
Barn Gallery Associates (Ogunquit, Me.)
Barnard, Charles F. (Charles Francis)
Barnard, George Grey
Barnas, Carl Franz Joseph
Barnes, Burt
Barnes, Dorothy Gill
Barnes, Ernest Harrison
Barnes, Florence Maiullo
Barnet, Peter
Barnet, Will
Barnett, Herbert
Barnett, Virginia
Barnhardt, Harry
Barnstone, Gertrude Levy
Baron, Herman
Barone, Antonio
Barr, Alfred Hamilton
Barr, David John
Barr, Margaret Scolari
Barr, Norman
Barr, Victoria
Barraza, Santa Contreras
Barrett, Leslie K.
Barrett, Oliver O'Connor
Barrett, Thomas R.
Barrie, Dennis
Barrows, Charles
Barry, Robert Thomas
Barschel, Hans Joachim
Bartlett, Eliot Fitch
Bartlett, Fred S. (Frederic Stewart)
Bartlett, Jennifer
Bartlett, John Russell
Bartlett, Paul
Bartlett, Paul Wayland
Bartlett, Sarah W.
Bartlett, Suzanne Earle Ogden-Jones Emmons
Bartlett, Truman Howe
Bartman, William S.
Barto, Emily N. (Emily Newton)
Barton, Donald B.
Barton, John Rector
Barton, Macena Alberta
Bartscht, Heri Bert
Bascom, Mansfield
Bascom, Ruth Esherick
Baskerville, Charles
Baskin, Leonard
Bassett, Bruce
Bassett, Norman
Bassing, Allen
Bassler, James W.
Bates, Kenneth F. (Kenneth Francis)
Battcock, Gregory
Bauer, Richard
Bauer, Rudolf
Baum, Don
Baum, Mark
Bauman, Irma Commanday
Baumbach, Harold
Baur, John I. H. (John Ireland Howe)
Baxter Art Gallery
Bayer, Herbert
Baylinson, A. S.
Baziotes, William
Beach, Chester
Beachcombers (Organization)
Beal, Alger
Beal, Gifford
Beal, Jack
Beal, Rebecca J.
Beal, Reynolds
Beals, Jessie Tarbox
Beam, Philip C.
Bear, Donald
Beard, Daniel Carter
Bearden, Romare
Beauchamp, Robert J. (Robert John)
Beauchamp, Toni Ramona
Beaux, Cecilia
Bechtle, Robert Alan
Beck, James M. (James Montgomery)
Beck, Margit
Beck, Otto Walter
Becker, Carolyn Berry
Becker, Don
Becker, Maurice
Beckmann, Hannes
Beckmann, Mathilde Q.
Beckmann, Max
Beckwith, J. Carroll (James Carroll)
Bedia, José
Bednarz, Adele
Beerbohm, Marvin
Beerman, Miriam
Beer-Monti, Federica
Beggs, Thomas Montague
Belcher, Hilda
Belkin, Arnold
Bell, Larry
Bell, Michael S.
Bell, Philip Fletcher
Bellaimey, James
Bellamy, Anna Muirson Johnson
Bellamy, Arabella Chandler McClintock
Bellamy, Richard Hu
Belluschi, Pietro
Belmont, Ira Jean
Ben Tré, Howard
Benay, Susan
Bender, Albert M. (Albert Maurice)
Bender, Gretchen
Bender, William H.
Beneke, Daphne
Beneker, Gerrit A. (Gerrit Albertus)
Bengelsdorf, Rosalind
Benglis, Lynda
Bengston, Billy Al
Bengtz, Ture
Benhaim, Hermine
Benisovich, Michel N.
Benjamin, Gershon
Benjamin, Karl
Benkert, Ernst
Benn, Ben
Bennett, Garry Knox
Bennett, Ward
Bennington College. Visual Arts Dept
Benrimo, Tom
Bensco, Margaret Lawson
Bensman, Joseph
Benson, Emanuel
Benson, Esther Fisher
Benson, J. L. (Jack Leonard)
Benton, Elizabeth Cornell
Benton, Fletcher Chapman
Benton, Thomas Hart
Benton, William
Ben-Zion
Berdich, Vera
Berg, Siri B.
Berg, Tom
Berger, Jason
Berger, Maurice W.
Berger, Norma G.
Berggruen, John Henry
Bergman, Edwin
Berkenfeld, Karen Felicity
Berkowitz, Leon
Berkowitz, Rosalie Dalsheimer
Berkson, Bill
Berlant, Anthony
Berman, Avis
Berman, Eugene
Berman, Greta
Berman, Leonid
Berman, Wallace
Berman/Daferner (Gallery)
Bermingham, Peter
Bermúdez, Cundo
Bernard, Michael
Bernasconi, Albert
Berninghaus, Oscar E. (Oscar Edmund)
Bernstein, Henry
Berntsen, Bernhard H. (Bernhard Hilmar)
Berry-Hill Galleries
Berryman, family
Berthot, Jak
Bertoia, Harry
Bess, Forrest
Best, David
Bewley, Murray Percival
Beyens, Bert
Beyers, Bernice West
Bezman, Michel
Biberman, Edward
Bicknell, W. H. W. (William Harry Warren)
Biddle, George
Bieber, Jeffrey
Biederman, Charles Joseph
Biel-Bienne, Eugene V.
Bierstadt, Albert
Biesel, family
Bigelow and Wadsworth (Firm)
Bigger, Michael D.
Biggers, John Thomas
Bihun-Werner, Linda
Billings, Henry
Binder, Joseph
Bingham, George Caleb
Bingham, Lois A.
Binns, Charles Fergus
Birch family
Birch, William Russell
Birnbaum, Martin
Birren, Faber
Birren, Joseph P.
Bisbing, H. Singlewood (Henry Singlewood)
Bischoff, Elmer Nelson
Bischoff, Ilse Martha
Bishop, Isabel
Bisso, Anna
Bisttram, Emil
Bitter, Karl Theodore Francis
Bizinsky, Hyman Robert
Black Mountain College (Black Mountain, N.C.)
Black, Harding
Blackburn, Morris
Blackburn, Robert Hamilton
Blackshear, Kathleen
Blackstone, Harriet
Blackwell, Tom
Bladen, Ronald
Blain, West Elliot
Blaine, Nell Blair Walden
Blair, Robert N. (Robert Noel)
Blake, Elizabeth Cady Stanton
Blanc, Giulio V.
Blanc, Peter
Blanch, Arnold
Blanch, Lucile Lundquist
Blanchard, Porter
Bland Gallery (New York, N.Y.)
Blaney, Dwight
Blashfield, Edwin Howland
Blaustein, Al H.
Blazek, Anton James
Blesh, Rudi
Bliss, Lizzie P. (Lizzie Plummer)
Bloch, Julius T. (Julius Thiengen),
Bloch, Lucienne
Block, Adolph
Block, Dorothy
Block, Henry
Block, Irving
Block, Lou
Blodgett, Walton
Bloom, Hyman
Bluemner, Oscar
Bluhm, Norman
Blum, Irving
Blum, Jerome
Blum, Robert Frederick
Blume, Peter
Blumenau, Lili
Blumenschein, Ernest Leonard
Blunk, J.B. (James B.)
Blythe, Julia Keffer
Board of Governors of the Federal Reserve System (U.S.). Fine Arts Program
Boardman, Seymour
Boardman, Thomas Danforth
Bobbitt, Vernon L. (Vernon Leroy)
Bochner, Mel
Bockhorst, Paul
Bocour, Leonard
Bodin, Paul
Boehler, Hans
Bogach, Vera
Boghosian, Varujan
Bohm, Max
Bohnen, Carl A.
Bohrod, Aaron
Boise, Ronald Lee
Boit, Edward D.
Bolomey, Roger Henry
Bolotowsky, Ilya
Bolton, Theodore
Bomar, Bill
Bonath, Harry
Bonevardi, Marcelo
Bontecou, Lee
Boot, R. G.
Booth, George G. (George Gough)
Booth, Henry Scripps
Borden, Janet
Borein, Edward
Borg, Carl Oscar
Borgatta, Isabel Case
Borglum, Gutzon
Borglum, Solon Hannibal
Boris, Nickolas
Bosa, Louis
Boshier, Derek
Bostick, William A.
Boston Art Commission
Boston Athenaeum
Boston University. Program in Artisanry
Boston Visual Artists Union
Bothwell, Dorr Hodgson
Botkin, Henry
Botto, Otto
Bouchard, Thomas O.
Bouché, Louis George
Boulware, Evelyn N.
Bouras, Harry
Bourdon, David
Bourdon, Margarita
Bourgeois, Louise
Bourgeois, Stephan
Bousquet, Woodward S.
Boutis, Tom
Bouton, Margaret
Bowden, Harry
Bowditch, Nancy Douglas
Bowdoin, Harold
Bowdoin, William G. (William Goodrich)
Bowers, Stephen
Bowery Gallery (New York, N.Y.)
Bowlin, Edgar W.
Bowman, Ruth
Boxer, Stanley
Boyd, E. (Elizabeth)
Boyd, Rutherford
Boyd-Snee, Rancy
Boynton, Jack
Braasch, Theodor
Brach, Paul H. (Paul Henry)
Brackett, Edward Augustus
Brackman, Robert
Braddon, Bernard
Bradford, Dewey C.
Bradford, Francis Scott
Bradford, Thomas
Bradford, William
Bradish, Ethelwyn Coventry
Bradley, Peter A.
Bradley, Will
Bradley, William N. (William Nathaniel)
Brady, Mathew B.
Brady, Robert David
Bram, Rudolph
Brandeis, Adele
Brandt, Grace Borgenicht
Brandt, Warren
Bransom, Paul
Brants, Cynthia
Brauner, Olaf M.
Braunstein, Ruth
Braunstein/Quay Gallery (San Francisco, Calif.)
Bray, Maria H.
Brecher, Samuel
Breckenridge, Hugh H. (Hugh Henry)
Breer, Robert C.
Breese family, Breese family.
Breeskin, Adelyn Dohme
Breinin, Raymond
Breitenbach, Edgar
Brendel, Bettina
Brennan, Alfred Laurens
Brennan, Harold James
Brennan, Lawrence F.
Brenner, Michael
Brenner, Victor David
Brenson, Theodore
Breuer, Marcel
Brewer, Joseph
Brewster, Anna Richards
Bricher, Alfred Thompson
Bridaham, Dorothy
Bridaham, Lester Burbank
Bridgman, Frederick Arthur
Bridgman, Lilian
Brigadier, Anne
Brigante, Nicholas P.
Briggs, Berta N. (Berta Nabersberg)
Briggs, Ernest
Brimmer, Martin
Brinckle, Gertrude
Bringle, Cynthia
Brinley, Putnam
Brinton, Christian
Briseño, Rolando
Bristow, Bill
Bristow, Wilanna
Brito, María Cristina
Britton, James
Brod, F. (Fritzi)
Broderson, Morris Gaylord
Brodeur, Clarence A.
Brodie, Gandy
Brodsky, Stan
Brody, Jacqueline
Broner, Robert
Brook, Alexander
Brookgreen Gardens
Brooklyn Art Association
Brooklyn Museum
Brookman, Philip
Brooks, James
Brooks, Romaine
Brose, Morris
Brosk, Jeffrey Owen
Brotherton, Joseph L.
Brotherton, Naomi
Brouillette, Gilbert
Browere, John Henri Isaac
Brown, Adele Smith
Brown, Bolton
Brown, George Loring
Brown, Henry Kirke
Brown, Herbert J.
Brown, Joan
Brown, John George
Brown, Judith S.
Brown, Milton Wolf
Brown, Richard F. (Richard Fargo)
Brown, Robert F.
Brown, Samuel Joseph
Brown, W. Alden
Brown, William J. (William Joseph)
Brown, William Theo
Browne, Byron
Browne, George Elmer
Browne, John C.
Browne, Margaret Fitzhugh
Browne, Stephen B.
Browne, Vivian E.
Brownlow, David
Bruce, Edward
Bruce, Margaret T.
Bruce, W. J.
Brumbaugh, Thomas B. (Thomas Brendle)
Bruner, Louise Katherine
Bruno, Phillip A.
Brusca, Jack
Bruseth, Alf
Brush, George de Forest
Bruton, Helen Bell
Bry, Edith
Bryant, Walter Copeland
Bryant, William Cullen
Bryner, Dale
Brynner, Irena F.
Bryson, Bernarda
Bucci, Andrew A.
Buchanan, James
Buck, Claude
Buck, John
Buckley, Charles E.
Bucknall, Malcolm R.
Budin, Shaya
Buehr, family
Bufano, Beniamino
Buff, Conrad
Buffet, Edward P.
Bull, Charles Livingston
Bull, Thomas
Bulliet, C. J. (Clarence Joseph)
Bultman, Fritz
Bunce, Eleanor Howland
Bunce, Louis
Bunker, Dennis Miller
Bunker, George R.
Bunn, William E. L. (Edward Lewis)
Bunnell, Charles Ragland
Bunnen, Lucinda W.
Bunts, Frank
Burbank, Addison
Burch, Claire
Burchfield, Charles Ephraim
Burckhardt, Rudy
Burdick, Horace Robbins
Burdick, Joel Wakeman
Burgess, Bill
Burkhardt, Hans Gustav
Burleigh, Sydney Richmond
Burlin, Paul
Burliuk, David
Burnett, Calvin W.
Burnham, Wilbur Herbert
Burno, Esther Isabel Seaver
Burns, Ned J.
Burpee, William Partridge
Burr, George Elbert
Burroughs, Bryson
Burroughs, Clyde H. (Clyde Huntley)
Burroughs, Margaret Taylor
Burroughs, Olga
Burrows, Carlyle
Burton, Irving F. (Irving Frederick)
Burton, Scott
Busa, Peter
Bushnell, Robert
Butler Institute of American Art
Butler, Howard Russell
Butler, Joseph Green
Butler, Martha Ferguson
Butler, Mary
Butterfield, Deborah
Butterfield, Jan
Butzbach, Barbara
Buyck, Edward Pierre
Byard, John Kenneth
Byer, Alexander
Byers, Margery
Byrnes, James B.
Byron Gallery
Byron-Patrikiades, Charles Anthony
Bywaters, Jerry
C.G. Sloan & Company
Cabral, Flavio Emanuel
Cadmus, Paul
Cady, Harrison
Caffin, Charles Henry
Cage, John
Cahan, Samuel George
Cahana, Alice Lok
Cahill, Holger
Cahn, Joshua Binion
Cain, Joseph Alexander
Caja, Jerome D.
